member_id,age,plan_type,workouts_per_week,session_minutes,distance_km,months_active,trainer,referral_source,renewed
GYM3230,43.0,Pro,3,56.0,9.3,35.0,No,Walk-in,No
GYM3391,16.0,Basic,3,,10.6,17.0,No,Friend,No
GYM3137,16.0,Basic,4,61.0,5.2,2.0,No,Instagram,No
GYM3339,28.0,Basic,5,,2.5,31.0,Yes,Walk-in,Yes
GYM3291,32.0,Pro,6,,3.3,15.0,No,Instagram,Yes
GYM3520,26.0,Basic,4,66.0,,29.0,No,Walk-in,Yes
GYM3423,33.0,Basic,0,91.0,2.2,8.0,No,Advertisement,No
GYM3127,25.0,Basic,3,82.0,0.6,18.0,No,Instagram,No
GYM3311,26.0,Pro,3,56.0,3.1,7.0,No,Walk-in,No
GYM3584,22.0,Elite,1,102.0,0.4,,Yes,Instagram,Yes
GYM3270,23.0,Basic,2,47.0,1.5,31.0,No,Friend,Yes
GYM3253,21.0,Pro,3,82.0,1.8,15.0,Yes,Instagram,Yes
GYM3341,20.0,Basic,3,84.0,4.9,4.0,Yes,Advertisement,Yes
GYM3421,24.0,Basic,3,77.0,1.0,11.0,No,Advertisement,No
GYM3524,33.0,Basic,4,,2.3,4.0,No,Friend,No
GYM3279,38.0,Basic,3,66.0,3.1,44.0,No,Walk-in,Yes
GYM3536,25.0,Basic,1,28.0,10.8,9.0,Yes,Walk-in,No
GYM3187,21.0,Elite,3,69.0,3.3,27.0,No,Instagram,Yes
GYM3212,29.0,Pro,1,,2.5,35.0,Yes,Friend,Yes
GYM3550,31.0,Basic,5,53.0,7.0,13.0,No,Advertisement,No
GYM3257,30.0,Pro,6,73.0,4.0,21.0,No,Friend,Yes
GYM3226,21.0,Pro,2,81.0,,29.0,Yes,Walk-in,Yes
GYM3590,32.0,Elite,3,,3.9,12.0,No,Instagram,Yes
GYM3180,16.0,Elite,4,87.0,6.3,30.0,No,Instagram,Yes
GYM3173,28.0,Basic,3,53.0,5.3,13.0,Yes,Friend,No
GYM3232,32.0,Pro,5,49.0,5.8,22.0,No,Walk-in,Yes
GYM3304,24.0,Basic,4,80.0,11.6,4.0,No,Friend,No
GYM3562,39.0,Elite,4,49.0,12.2,4.0,No,Walk-in,No
GYM3484,31.0,Elite,3,63.0,2.0,7.0,Yes,Walk-in,Yes
GYM3372,25.0,Basic,3,41.0,7.4,28.0,No,Instagram,No
GYM3444,34.0,Basic,5,96.0,3.6,13.0,No,Friend,Yes
GYM3478,22.0,Basic,4,53.0,3.3,25.0,No,Instagram,Yes
GYM3201,27.0,Basic,3,86.0,1.2,8.0,No,Advertisement,No
GYM3390,36.0,Basic,3,29.0,2.3,35.0,No,Advertisement,Yes
GYM3296,16.0,Pro,3,59.0,14.1,5.0,Yes,Walk-in,No
GYM3366,33.0,Pro,4,100.0,2.8,33.0,No,Friend,Yes
GYM3457,30.0,Pro,3,79.0,13.6,31.0,No,Instagram,No
GYM3515,23.0,Basic,4,59.0,0.6,6.0,Yes,Advertisement,Yes
GYM3413,38.0,Basic,5,,1.5,31.0,No,Instagram,Yes
GYM3368,31.0,Basic,4,45.0,0.6,2.0,No,Instagram,Yes
GYM3430,24.0,Pro,4,52.0,1.0,37.0,Yes,Instagram,Yes
GYM3202,21.0,Basic,2,22.0,8.4,39.0,Yes,Instagram,No
GYM3309,37.0,Basic,3,,1.7,41.0,No,Instagram,Yes
GYM3277,29.0,Pro,4,91.0,1.1,5.0,No,Instagram,Yes
GYM3347,23.0,Pro,5,,4.8,35.0,No,Friend,Yes
GYM3244,33.0,Pro,5,66.0,17.9,24.0,No,Friend,No
GYM3236,20.0,Elite,4,61.0,4.9,26.0,No,Friend,Yes
GYM3340,32.0,Basic,2,103.0,7.9,30.0,No,Instagram,No
GYM3508,37.0,Elite,4,,3.1,4.0,No,Instagram,Yes
GYM3157,47.0,Pro,3,52.0,6.5,29.0,Yes,Walk-in,Yes
GYM3294,25.0,Pro,3,78.0,2.9,41.0,Yes,Friend,Yes
GYM3589,37.0,Basic,2,55.0,8.0,32.0,No,Advertisement,No
GYM3289,43.0,Basic,3,43.0,3.5,11.0,Yes,Instagram,No
GYM3181,33.0,Pro,3,45.0,0.8,33.0,No,Instagram,Yes
GYM3211,25.0,Basic,4,81.0,2.3,1.0,No,Friend,Yes
GYM3234,28.0,Pro,4,,2.9,40.0,No,Instagram,Yes
GYM3327,18.0,Basic,4,,11.2,26.0,No,Walk-in,No
GYM3303,33.0,Basic,3,27.0,8.9,32.0,No,Instagram,No
GYM3434,26.0,Basic,3,78.0,5.4,40.0,No,Instagram,Yes
GYM3259,31.0,Pro,2,77.0,4.4,21.0,No,Walk-in,No
GYM3116,38.0,Pro,3,70.0,3.3,36.0,No,Instagram,Yes
GYM3114,26.0,Elite,2,51.0,12.1,27.0,No,Advertisement,No
GYM3140,37.0,Basic,3,72.0,11.1,9.0,Yes,Walk-in,No
GYM3310,31.0,Pro,1,83.0,3.7,8.0,Yes,Instagram,No
GYM3151,32.0,Pro,6,56.0,2.5,7.0,No,Walk-in,Yes
GYM3362,16.0,Basic,2,68.0,4.8,6.0,Yes,Friend,No
GYM3427,39.0,Basic,5,50.0,0.6,12.0,No,Instagram,Yes
GYM3143,25.0,Pro,2,53.0,0.4,10.0,No,Walk-in,No
GYM3343,16.0,Basic,5,36.0,4.2,9.0,No,Instagram,Yes
GYM3355,44.0,Pro,3,85.0,3.9,20.0,No,Friend,No
GYM3506,23.0,Pro,2,75.0,6.6,38.0,No,Friend,Yes
GYM3485,23.0,Basic,1,60.0,13.3,15.0,No,Friend,No
GYM3455,26.0,Pro,4,71.0,7.5,14.0,Yes,Friend,Yes
GYM3166,33.0,Basic,2,36.0,1.5,6.0,No,Friend,No
GYM3255,33.0,Pro,5,69.0,2.3,27.0,No,Advertisement,Yes
GYM3438,21.0,Basic,3,63.0,3.4,5.0,No,Friend,No
GYM3396,33.0,Elite,3,65.0,3.5,23.0,No,Advertisement,Yes
GYM3440,18.0,Elite,3,82.0,13.7,1.0,No,Instagram,No
GYM3545,36.0,Elite,4,42.0,5.1,16.0,No,Instagram,No
GYM3488,35.0,Elite,3,52.0,5.1,33.0,Yes,Friend,Yes
GYM3115,28.0,Elite,2,84.0,1.2,33.0,No,Friend,Yes
GYM3207,41.0,Pro,2,54.0,5.2,48.0,No,Advertisement,Yes
GYM3216,27.0,Basic,4,61.0,2.9,25.0,No,Walk-in,Yes
GYM3239,27.0,Pro,6,76.0,1.5,39.0,Yes,Friend,Yes
GYM3464,21.0,Basic,3,89.0,9.1,39.0,No,Friend,No
GYM3167,24.0,Elite,6,77.0,2.8,27.0,Yes,Advertisement,Yes
GYM3529,35.0,Pro,3,,2.3,17.0,Yes,Friend,Yes
GYM3280,32.0,Pro,3,79.0,7.6,12.0,No,Advertisement,No
GYM3569,37.0,Pro,4,85.0,4.6,10.0,Yes,Friend,Yes
GYM3482,31.0,Pro,2,31.0,2.0,48.0,No,Walk-in,Yes
GYM3399,21.0,Pro,3,76.0,8.6,13.0,No,Advertisement,No
GYM3557,20.0,Pro,5,71.0,8.7,32.0,No,Walk-in,Yes
GYM3224,37.0,Elite,2,70.0,6.1,31.0,Yes,Instagram,Yes
GYM3336,18.0,Pro,3,65.0,1.5,15.0,No,Instagram,No
GYM3499,31.0,Basic,3,47.0,11.8,38.0,Yes,Walk-in,No
GYM3467,25.0,Elite,3,55.0,5.8,30.0,No,Friend,Yes
GYM3402,35.0,Basic,1,64.0,5.5,,Yes,Walk-in,Yes
GYM3275,27.0,Pro,2,42.0,5.7,38.0,No,Friend,No
GYM3448,28.0,Basic,2,75.0,8.1,19.0,No,Instagram,No
GYM3456,23.0,Basic,5,67.0,4.5,43.0,No,Instagram,Yes
GYM3380,35.0,Pro,3,38.0,7.8,29.0,No,Instagram,No
GYM3290,20.0,Pro,3,99.0,5.7,24.0,No,Instagram,Yes
GYM3203,29.0,Elite,4,47.0,5.5,6.0,No,Walk-in,No
GYM3301,30.0,Basic,1,75.0,2.1,33.0,No,Instagram,No
GYM3502,20.0,Basic,5,,2.4,14.0,No,Instagram,Yes
GYM3286,34.0,Elite,3,51.0,3.5,46.0,No,Instagram,Yes
GYM3324,34.0,Pro,2,71.0,2.4,34.0,Yes,Walk-in,Yes
GYM3490,18.0,Elite,2,55.0,3.3,9.0,Yes,Advertisement,Yes
GYM3344,20.0,Basic,2,68.0,3.4,14.0,Yes,Instagram,No
GYM3410,27.0,Elite,2,73.0,4.9,7.0,No,Instagram,No
GYM3183,23.0,Pro,3,61.0,7.9,13.0,Yes,Walk-in,Yes
GYM3264,36.0,Pro,3,75.0,4.1,43.0,Yes,Instagram,Yes
GYM3541,44.0,Pro,2,68.0,6.5,39.0,Yes,Friend,Yes
GYM3237,23.0,Basic,5,44.0,5.6,46.0,Yes,Instagram,Yes
GYM3161,34.0,Basic,3,29.0,1.2,4.0,No,Advertisement,No
GYM3314,24.0,Basic,1,55.0,3.2,38.0,No,Friend,No
GYM3442,33.0,Elite,5,49.0,4.6,45.0,No,Friend,Yes
GYM3227,20.0,Pro,0,50.0,3.3,27.0,No,Friend,No
GYM3469,28.0,Basic,2,56.0,1.3,6.0,No,Advertisement,No
GYM3159,36.0,Pro,1,70.0,0.4,12.0,No,Friend,No
GYM3297,32.0,Pro,5,31.0,3.8,38.0,Yes,Friend,Yes
GYM3205,31.0,Basic,3,83.0,6.5,15.0,No,Advertisement,No
GYM3110,32.0,Pro,2,67.0,2.7,43.0,No,Friend,Yes
GYM3155,23.0,Basic,0,,4.1,41.0,No,Instagram,No
GYM3551,29.0,Elite,3,90.0,5.1,35.0,No,Friend,Yes
GYM3333,39.0,Basic,1,20.0,2.2,9.0,No,Instagram,No
GYM3156,24.0,Basic,0,,8.5,15.0,Yes,Friend,No
GYM3458,21.0,Pro,4,47.0,8.5,6.0,No,Walk-in,No
GYM3261,30.0,Basic,4,75.0,3.5,14.0,No,Friend,Yes
GYM3188,33.0,Elite,0,,3.9,6.0,No,Walk-in,No
GYM3394,24.0,Basic,4,47.0,2.9,13.0,No,Advertisement,No
GYM3124,28.0,Basic,4,47.0,3.5,31.0,No,Instagram,Yes
GYM3214,20.0,Elite,2,64.0,8.7,30.0,No,Friend,Yes
GYM3496,33.0,Elite,2,66.0,11.0,23.0,Yes,Instagram,Yes
GYM3131,31.0,Basic,2,57.0,5.0,11.0,Yes,Instagram,No
GYM3439,36.0,Elite,5,68.0,0.4,13.0,No,Friend,Yes
GYM3354,21.0,Basic,5,74.0,1.3,29.0,No,Instagram,Yes
GYM3387,35.0,Basic,6,57.0,8.9,37.0,No,Instagram,Yes
GYM3539,27.0,Pro,1,90.0,,10.0,No,Walk-in,No
GYM3405,29.0,Elite,5,62.0,8.5,39.0,No,Advertisement,Yes
GYM3453,20.0,Basic,4,48.0,1.8,8.0,No,Instagram,Yes
GYM3359,27.0,Pro,6,57.0,6.0,39.0,No,Walk-in,Yes
GYM3543,30.0,Basic,2,66.0,2.9,19.0,No,Walk-in,No
GYM3428,27.0,Basic,3,,4.2,16.0,Yes,Friend,Yes
GYM3228,38.0,Elite,4,,4.1,29.0,No,Walk-in,Yes
GYM3563,30.0,Basic,1,64.0,9.7,4.0,No,Advertisement,No
GYM3223,31.0,Basic,2,34.0,0.4,,No,Instagram,Yes
GYM3433,34.0,Basic,4,,,18.0,Yes,Walk-in,Yes
GYM3373,35.0,Pro,5,60.0,4.2,12.0,No,Advertisement,Yes
GYM3597,30.0,Elite,4,76.0,1.7,6.0,No,Walk-in,Yes
GYM3198,30.0,Basic,5,72.0,2.1,3.0,No,Friend,Yes
GYM3501,33.0,Basic,4,94.0,7.5,4.0,No,Advertisement,No
GYM3552,28.0,Basic,3,75.0,8.7,10.0,No,Advertisement,No
GYM3266,25.0,Basic,3,78.0,1.7,2.0,No,Instagram,No
GYM3318,25.0,Pro,1,83.0,5.0,4.0,Yes,Instagram,No
GYM3330,25.0,Elite,3,70.0,4.7,2.0,Yes,Advertisement,Yes
GYM3246,38.0,Basic,3,40.0,5.1,30.0,Yes,Instagram,Yes
GYM3534,36.0,Basic,5,73.0,3.3,20.0,No,Advertisement,Yes
GYM3451,23.0,Pro,2,50.0,8.0,29.0,Yes,Friend,Yes
GYM3497,30.0,Pro,5,37.0,5.3,19.0,Yes,Instagram,Yes
GYM3329,24.0,Elite,4,83.0,6.0,40.0,No,Instagram,Yes
